['167', '866', '358']
['552', '300', '393']
['351', '826', '91']
['12', '275', '430']
['24', '514', '776']
['974', '698', '979']
['492', '222', '699']
['443', '519', '801']
['507', '15', '368']
['688', '305', '721']
['602', '524', '941']
['535', '219', '673']
['215', '955', '902']
['618']
