['61', '1', '6', '8']
['238', '10', '11', '14']
['84', '15', '16', '17']
['95', '18', '19', '20']
['3', '21', '23', '26']
['13', '28', '30', '35']
['50', '36', '38', '40']
['137', '42', '44', '45']
['197', '51', '52', '54']
['175', '56', '57', '58']
['240', '63', '64', '65']
['66', '67', '68', '71']
['174', '72', '77', '78']
['194', '79', '81', '83']
['227', '85', '86', '96']
['9', '98', '100', '101']
['12', '105', '107', '109']
['25', '115', '116', '117']
['108', '118', '121', '125']
['237', '129', '130', '135']
['92', '136', '140', '142']
['97', '143', '147', '152']
['133', '155', '157', '162']
['41', '163', '164', '165']
['46', '167', '168', '169']
['53', '171', '173', '176']
['106', '180', '182', '183']
['122', '185', '186', '187']
['156', '189', '191', '196']
['209', '199', '200', '201']
['236', '205', '210', '212']
['7', '213', '214', '215']
['33', '217', '218', '219']
['34', '220', '222', '223']
['102', '224', '229', '231']
['123', '239', '241', '243']
['132', '244', '245', '246']
['154', '247', '2', '4']
['181', '24', '43', '47']
['198', '59', '69', '73']
['211', '75', '76', '80']
['232', '82', '93', '94']
['49', '103', '104', '113']
['62', '114', '120', '131']
['99', '134', '139', '144']
['119', '145', '148', '150']
['179', '153', '159', '166']
['190', '170', '172', '177']
['88', '184', '192', '193']
['126', '202', '204', '206']
['138', '207', '208', '216']
['151', '221', '228', '233']
['178', '235', '248', '29']
['226', '70', '74', '89']
['242', '90', '112', '124']
['0', '128', '149', '188']
['31', '203', '225', '230']
['39', '234', '249', '5']
['55', '22', '32', '48']
['60', '91', '110', '146']
['87', '158', '27', '37']
['141', '195', '127', '111']
['161', '160']
