['280', '76', '107', '110', '176', '220', '268', '310', '359', '366']
['336', '55', '199', '229', '237', '266', '283', '425', '216', '25']
['324', '183', '200', '265', '349', '415', '422', '449', '488', '492']
['427', '31', '88', '99', '270', '274', '347', '381', '383', '346']
['18', '64', '198', '204', '254', '326', '376', '401', '405', '438']
['82', '23', '30', '60', '98', '133', '152', '205', '300', '352']
['143', '215', '218', '334', '354', '365', '403', '426', '437', '450']
['179', '52', '131', '132', '149', '361', '432', '455', '479', '464']
['171', '78', '319', '320', '378', '382', '419', '431', '444', '499']
['417', '17', '68', '90', '260', '342', '385', '420', '458', '402']
['443', '19', '136', '164', '217', '343', '356', '462', '470', '475']
['295', '203', '206', '228', '304', '424', '439', '468', '471', '489']
['374', '2', '36', '61', '70', '84', '104', '255', '290', '296']
['58', '47', '97', '173', '222', '234', '244', '317', '335', '380']
['289', '87', '111', '118', '135', '186', '226', '303', '309', '318']
['166', '22', '33', '41', '92', '175', '248', '293', '299', '312']
['394', '130', '146', '233', '322', '350', '410', '459', '478', '145']
['473', '1', '103', '147', '231', '247', '278', '282', '423', '451']
['472', '11', '29', '96', '150', '182', '223', '245', '291', '428']
['14', '20', '21', '53', '59', '119', '331', '457', '463', '485']
['391', '46', '74', '158', '202', '287', '337', '358', '476', '480']
['242', '37', '141', '341', '373', '395', '411', '421', '430', '412']
['114', '0', '3', '39', '69', '95', '235', '429', '433', '467']
['387', '77', '126', '197', '397', '404', '448', '460', '494', '497']
['79', '56', '169', '253', '286', '339', '379', '454', '466', '481']
['117', '89', '163', '165', '238', '308', '329', '371', '435', '461']
['323', '4', '27', '94', '138', '153', '159', '181', '246', '272']
['298', '6', '38', '54', '81', '148', '151', '257', '267', '351']
['388', '48', '106', '161', '170', '209', '240', '333', '338', '369']
['367', '105', '139', '157', '284', '398', '446', '477', '493', '396']
['172', '9', '15', '85', '93', '275', '321', '399', '408', '447']
['13', '50', '121', '127', '174', '188', '271', '316', '370', '465']
['364', '7', '191', '211', '344', '360', '400', '414', '434', '445']
['236', '44', '80', '101', '178', '221', '474', '486', '491', '348']
['162', '5', '12', '124', '193', '210', '239', '285', '292', '332']
['243', '45', '63', '66', '125', '194', '207', '219', '276', '328']
['325', '122', '128', '134', '249', '256', '263', '313', '357', '413']
['384', '100', '113', '129', '156', '269', '327', '386', '442', '456']
['469', '212', '302', '368', '418', '436', '452', '490', '496', '498']
['305', '73', '115', '123', '196', '230', '279', '375', '377', '484']
['406', '16', '34', '112', '250', '262', '301', '314', '392', '416']
['185', '26', '142', '154', '160', '167', '184', '189', '190', '108']
['40', '24', '252', '258', '294', '315', '340', '372', '389', '441']
['91', '35', '49', '168', '213', '225', '330', '390', '407', '453']
['345', '32', '83', '137', '144', '241', '261', '277', '307', '362']
['281', '10', '28', '67', '140', '180', '192', '306', '482', '495']
['487', '57', '65', '86', '102', '201', '214', '224', '259', '393']
['409', '8', '116', '177', '273', '363', '440', '483', '155', '187']
['72', '42', '43', '75', '109', '120', '227', '251', '288', '311']
['195', '51', '71', '208', '232', '264', '297', '353', '355', '62']
