['83', '55', '65', '108', '241', '245', '282', '287', '334', '347']
['297', '30', '40', '54', '75', '131', '209', '246', '295', '302']
['236', '21', '85', '163', '173', '188', '191', '201', '230', '237']
['144', '7', '43', '51', '60', '84', '128', '134', '138', '142']
['317', '20', '119', '143', '180', '200', '208', '213', '274', '330']
['318', '36', '45', '80', '141', '309', '322', '329', '345', '354']
['26', '217', '247', '313', '325', '357', '359', '360', '365', '371']
['96', '41', '79', '112', '154', '170', '222', '266', '337', '343']
['386', '8', '9', '126', '135', '164', '181', '190', '199', '279']
['384', '44', '68', '179', '184', '195', '223', '254', '269', '303']
['370', '5', '57', '82', '102', '110', '151', '193', '270', '319']
['69', '86', '212', '228', '256', '267', '278', '285', '288', '291']
['198', '376', '379', '381', '382', '387', '389', '390', '391', '393']
['327', '32', '104', '121', '206', '250', '280', '306', '351', '361']
['264', '10', '116', '146', '156', '171', '211', '215', '231', '263']
['251', '71', '88', '117', '132', '167', '326', '373', '374', '388']
['189', '1', '24', '48', '62', '72', '89', '109', '277', '332']
['398', '15', '42', '101', '186', '187', '207', '219', '233', '234']
['93', '64', '87', '149', '174', '220', '275', '380', '383', '385']
['362', '6', '14', '118', '183', '238', '243', '252', '255', '301']
['185', '11', '47', '161', '182', '227', '242', '290', '296', '307']
['33', '29', '78', '221', '260', '261', '299', '308', '315', '320']
['253', '4', '28', '50', '66', '99', '113', '162', '194', '300']
['328', '105', '203', '204', '214', '323', '324', '335', '364', '368']
['304', '3', '35', '37', '56', '77', '120', '127', '216', '292']
['205', '12', '31', '46', '67', '176', '177', '178', '224', '225']
['19', '92', '130', '145', '147', '166', '210', '235', '244', '248']
['192', '53', '91', '165', '232', '259', '286', '314', '346', '350']
['13', '2', '17', '18', '73', '115', '123', '129', '172', '175']
['81', '58', '137', '155', '257', '258', '268', '293', '352', '355']
['16', '98', '106', '107', '139', '202', '273', '276', '294', '353']
['377', '0', '94', '114', '158', '168', '196', '226', '363', '367']
['95', '63', '74', '150', '239', '310', '312', '341', '344', '348']
['316', '70', '159', '311', '331', '336', '349', '356', '358', '372']
['218', '22', '27', '34', '100', '140', '157', '229', '271', '281']
['283', '38', '59', '122', '124', '153', '160', '249', '262', '289']
['148', '90', '152', '240', '340', '342', '366', '369', '375', '378']
['97', '111', '197', '298', '392', '394', '395', '396', '397', '399']
['61', '23', '49', '76', '125', '133', '265', '272', '305', '338']
['169', '25', '39', '52', '103', '136', '284', '321', '333', '339']
